Kode,Nama,Sektor,Syariah
KARW,Meratus Jasa Prima Tbk.,Infrastructures,True
KBLI,KMI Wire & Cable Tbk.,Industrials,True
KBLM,Kabelindo Murni Tbk.,Industrials,True
KBLV,First Media Tbk.,Infrastructures,False
KBRI,Kertas Basuki Rachmat Indonesi,Basic Materials,False
KDSI,Kedawung Setia Industrial Tbk.,Basic Materials,True
KIAS,Keramika Indonesia Assosiasi T,Industrials,True
KICI,Kedaung Indah Can Tbk,Consumer Cyclicals,True
KIJA,Kawasan Industri Jababeka Tbk.,Properties & Real Estate,True
KKGI,Resource Alam Indonesia Tbk.,Energy,True
KLBF,Kalbe Farma Tbk.,Healthcare,True
KOBX,Kobexindo Tractors Tbk.,Industrials,True
KOIN,Kokoh Inti Arebama Tbk,Industrials,True
KONI,Perdana Bangun Pusaka Tbk,Industrials,True
KOPI,Mitra Energi Persada Tbk.,Energy,True
KPIG,MNC Tourism Indonesia Tbk.,Consumer Cyclicals,True
KRAS,Krakatau Steel (Persero) Tbk.,Basic Materials,False
KREN,Quantum Clovera Investama Tbk.,Technology,True
LAPD,Leyand International Tbk.,Consumer Non-Cyclicals,False
LCGP,Eureka Prima Jakarta Tbk.,Properties & Real Estate,False
LEAD,Logindo Samudramakmur Tbk.,Energy,False
LINK,Link Net Tbk.,Infrastructures,False
LION,Lion Metal Works Tbk.,Industrials,True
LMAS,Limas Indonesia Makmur Tbk,Technology,False
LMPI,Langgeng Makmur Industri Tbk.,Consumer Cyclicals,True
LMSH,Lionmesh Prima Tbk.,Basic Materials,True
LPCK,Lippo Cikarang Tbk,Properties & Real Estate,True
LPGI,Lippo General Insurance Tbk.,Financials,False
LPIN,Multi Prima Sejahtera Tbk,Consumer Cyclicals,True
LPKR,Lippo Karawaci Tbk.,Properties & Real Estate,True
LPLI,Star Pacific Tbk,Properties & Real Estate,True
LPPF,MDS Retailing Tbk.,Consumer Cyclicals,True
LPPS,Lenox Pasifik Investama Tbk.,Financials,False
LRNA,Eka Sari Lorena Transport Tbk.,Transportation & Logistic,True
LSIP,PP London Sumatra Indonesia Tb,Consumer Non-Cyclicals,True
LTLS,Lautan Luas Tbk.,Basic Materials,True
MAGP,Multi Agro Gemilang Plantation,Consumer Non-Cyclicals,False
MAIN,Malindo Feedmill Tbk.,Consumer Non-Cyclicals,True
MAPI,Mitra Adiperkasa Tbk.,Consumer Cyclicals,True
MAYA,Bank Mayapada Internasional Tb,Financials,False
MBAP,Mitrabara Adiperdana Tbk.,Energy,True
MBSS,Mitrabahtera Segara Sejati Tbk,Energy,False
MBTO,Martina Berto Tbk.,Consumer Non-Cyclicals,True
MCOR,Bank China Construction Bank I,Financials,False
MDIA,Intermedia Capital Tbk.,Consumer Cyclicals,True
MDKA,Merdeka Copper Gold Tbk.,Basic Materials,True
MDLN,Modernland Realty Tbk.,Properties & Real Estate,False
MDRN,Modern Internasional Tbk.,Industrials,False
MEDC,Medco Energi Internasional Tbk,Energy,True
MEGA,Bank Mega Tbk.,Financials,False
MERK,Merck Tbk.,Healthcare,True
META,Nusantara Infrastructure Tbk.,Infrastructures,True
MFMI,Multifiling Mitra Indonesia Tb,Industrials,True
MGNA,Magna Investama Mandiri Tbk.,Consumer Cyclicals,True
MICE,Multi Indocitra Tbk.,Consumer Cyclicals,True
MIDI,Midi Utama Indonesia Tbk.,Consumer Non-Cyclicals,True
MIKA,Mitra Keluarga Karyasehat Tbk.,Healthcare,True
MIRA,Mitra International Resources ,Transportation & Logistic,True
MITI,Mitra Investindo Tbk.,Transportation & Logistic,True
MKPI,Metropolitan Kentjana Tbk.,Properties & Real Estate,True
MLBI,Multi Bintang Indonesia Tbk.,Consumer Non-Cyclicals,False
MLIA,Mulia Industrindo Tbk,Industrials,True
MLPL,Multipolar Tbk.,Consumer Non-Cyclicals,True
MLPT,Multipolar Technology Tbk.,Technology,True
MMLP,Mega Manunggal Property Tbk.,Properties & Real Estate,True
MNCN,Media Nusantara Citra Tbk.,Consumer Cyclicals,True
MPMX,Mitra Pinasthika Mustika Tbk.,Consumer Cyclicals,True
MPPA,Matahari Putra Prima Tbk.,Consumer Non-Cyclicals,True
MRAT,Mustika Ratu Tbk.,Consumer Non-Cyclicals,True
MREI,Maskapai Reasuransi Indonesia ,Financials,False
MSKY,MNC Sky Vision Tbk.,Consumer Cyclicals,True
MTDL,Metrodata Electronics Tbk.,Technology,True
MTFN,Capitalinc Investment Tbk.,Energy,True
MTLA,Metropolitan Land Tbk.,Properties & Real Estate,True
MTSM,Metro Realty Tbk.,Properties & Real Estate,True
MYOH,Samindo Resources Tbk.,Energy,True
MYOR,Mayora Indah Tbk.,Consumer Non-Cyclicals,True
MYTX,Asia Pacific Investama Tbk.,Consumer Cyclicals,False
NELY,Pelayaran Nelly Dwi Putri Tbk.,Transportation & Logistic,True
NIKL,Pelat Timah Nusantara Tbk.,Basic Materials,True
NIRO,City Retail Developments Tbk.,Properties & Real Estate,False
NISP,Bank OCBC NISP Tbk.,Financials,False
NOBU,Bank Nationalnobu Tbk.,Financials,False
NRCA,Nusa Raya Cipta Tbk.,Infrastructures,True
OCAP,Onix Capital Tbk.,Financials,False
OKAS,Ancora Indonesia Resources Tbk,Basic Materials,True
OMRE,Indonesia Prima Property Tbk,Properties & Real Estate,True
PADI,Minna Padi Investama Sekuritas,Financials,False
PALM,Provident Investasi Bersama Tb,Financials,True
PANR,Panorama Sentrawisata Tbk.,Consumer Cyclicals,True
PANS,Panin Sekuritas Tbk.,Financials,False
PBRX,Pan Brothers Tbk.,Consumer Cyclicals,False
PDES,Destinasi Tirta Nusantara Tbk,Consumer Cyclicals,True
PEGE,Panca Global Kapital Tbk.,Financials,False
PGAS,Perusahaan Gas Negara (Persero,Energy,True
PGLI,Pembangunan Graha Lestari Inda,Consumer Cyclicals,True
PICO,Pelangi Indah Canindo Tbk,Basic Materials,True
PJAA,Pembangunan Jaya Ancol Tbk.,Consumer Cyclicals,True
PKPK,Paragon Karya Perkasa Tbk.,Energy,True
PLAS,Polaris Investama Tbk,Financials,False
PLIN,Plaza Indonesia Realty Tbk.,Properties & Real Estate,True
PNBN,Bank Pan Indonesia Tbk,Financials,False
PNBS,Bank Panin Dubai Syariah Tbk.,Financials,True
PNIN,Paninvest Tbk.,Financials,False
PNLF,Panin Financial Tbk.,Financials,False
PSAB,J Resources Asia Pasifik Tbk.,Basic Materials,True
PSDN,Prasidha Aneka Niaga Tbk,Consumer Non-Cyclicals,True
PSKT,Red Planet Indonesia Tbk.,Consumer Cyclicals,True
PTBA,Bukit Asam (Persero) Tbk.,Energy,True
PTIS,Indo Straits Tbk.,Energy,True
PTPP,PP (Persero) Tbk.,Infrastructures,True
PTRO,Petrosea Tbk.,Energy,False
PTSN,Sat Nusapersada Tbk,Technology,True
PTSP,Pioneerindo Gourmet Internatio,Consumer Cyclicals,True
PUDP,Pudjiadi Prestige Tbk.,Properties & Real Estate,False
PWON,Pakuwon Jati Tbk.,Properties & Real Estate,True
PYFA,Pyridam Farma Tbk,Healthcare,False
RAJA,Rukun Raharja Tbk.,Energy,True
RALS,Ramayana Lestari Sentosa Tbk.,Consumer Cyclicals,True
RANC,Supra Boga Lestari Tbk.,Consumer Non-Cyclicals,True
RBMS,Ristia Bintang Mahkotasejati T,Properties & Real Estate,True
RDTX,Roda Vivatex Tbk,Properties & Real Estate,True
RELI,Reliance Sekuritas Indonesia T,Financials,False
RICY,Ricky Putra Globalindo Tbk,Consumer Cyclicals,False
RIGS,Rig Tenders Indonesia Tbk.,Energy,True
RIMO,Rimo International Lestari Tbk,Properties & Real Estate,False
RODA,Pikko Land Development Tbk.,Properties & Real Estate,True
ROTI,Nippon Indosari Corpindo Tbk.,Consumer Non-Cyclicals,True
RUIS,Radiant Utama Interinsco Tbk.,Energy,True
SAFE,Steady Safe Tbk,Transportation & Logistic,True
SAME,Sarana Meditama Metropolitan T,Healthcare,True
SCCO,Supreme Cable Manufacturing & ,Industrials,True
SCMA,Surya Citra Media Tbk.,Consumer Cyclicals,False
SCPI,Organon Pharma Indonesia Tbk.,Healthcare,True
SDMU,Sidomulyo Selaras Tbk.,Transportation & Logistic,False
SDPC,Millennium Pharmacon Internati,Consumer Non-Cyclicals,True
SDRA,Bank Woori Saudara Indonesia 1,Financials,False
SGRO,Prime Agri Resources Tbk.,Consumer Non-Cyclicals,True
SHID,Hotel Sahid Jaya International,Consumer Cyclicals,True
SIDO,Industri Jamu dan Farmasi Sido,Healthcare,True
SILO,Siloam International Hospitals,Healthcare,True
SIMA,Siwani Makmur Tbk,Basic Materials,False
SIMP,Salim Ivomas Pratama Tbk.,Consumer Non-Cyclicals,True
SIPD,Sreeya Sewu Indonesia Tbk.,Consumer Non-Cyclicals,True
SKBM,Sekar Bumi Tbk.,Consumer Non-Cyclicals,True
SKLT,Sekar Laut Tbk.,Consumer Non-Cyclicals,True
SKYB,Northcliff Citranusa Indonesia,Technology,False
SMAR,Sinar Mas Agro Resources and T,Consumer Non-Cyclicals,True
SMBR,Semen Baturaja (Persero) Tbk.,Basic Materials,True
SMCB,Solusi Bangun Indonesia Tbk.,Basic Materials,True
SMDM,Suryamas Dutamakmur Tbk.,Properties & Real Estate,True
SMDR,Samudera Indonesia  Tbk.,Transportation & Logistic,True
SMGR,Semen Indonesia (Persero) Tbk.,Basic Materials,True
SMMA,Sinarmas Multiartha Tbk.,Financials,False
SMMT,Golden Eagle Energy Tbk.,Energy,True
SMRA,Summarecon Agung Tbk.,Properties & Real Estate,True
SMRU,SMR Utama Tbk.,Energy,False
SMSM,Selamat Sempurna Tbk.,Consumer Cyclicals,True
SOCI,Soechi Lines Tbk.,Energy,True
SONA,Sona Topas Tourism Industry Tb,Consumer Cyclicals,True
SPMA,Suparma Tbk.,Basic Materials,True
SQMI,Wilton Makmur Indonesia Tbk.,Basic Materials,False
SRAJ,Sejahteraraya Anugrahjaya Tbk.,Healthcare,False
SRIL,Sri Rejeki Isman Tbk.,Consumer Cyclicals,False
SRSN,Indo Acidatama Tbk,Basic Materials,False
SRTG,Saratoga Investama Sedaya Tbk.,Financials,True
SSIA,Surya Semesta Internusa Tbk.,Infrastructures,True
SSMS,Sawit Sumbermas Sarana Tbk.,Consumer Non-Cyclicals,False
SSTM,Sunson Textile Manufacture Tbk,Consumer Cyclicals,True
STAR,Calculus Global Ventures Tbk.,Financials,False
STTP,Siantar Top Tbk.,Consumer Non-Cyclicals,True
SUGI,Sugih Energy Tbk.,Energy,False
SULI,SLJ Global Tbk.,Basic Materials,True
SUPR,Solusi Tunas Pratama Tbk.,Infrastructures,True
TALF,Tunas Alfin Tbk.,Basic Materials,True
TARA,Agung Semesta Sejahtera Tbk.,Properties & Real Estate,True
TAXI,Express Transindo Utama Tbk.,Transportation & Logistic,True
TBIG,Tower Bersama Infrastructure T,Infrastructures,False
TBLA,Tunas Baru Lampung Tbk.,Consumer Non-Cyclicals,False
TBMS,Tembaga Mulia Semanan Tbk.,Basic Materials,True
TCID,Mandom Indonesia Tbk.,Consumer Non-Cyclicals,True
TELE,Omni Inovasi Indonesia Tbk.,Consumer Cyclicals,False
TFCO,Tifico Fiber Indonesia Tbk.,Consumer Cyclicals,True
TGKA,Tigaraksa Satria Tbk.,Consumer Non-Cyclicals,True
TIFA,KDB Tifa Finance Tbk.,Financials,False
TINS,TIMAH (Persero) Tbk.,Basic Materials,True
TIRA,Tira Austenite Tbk,Industrials,True
TIRT,Tirta Mahakam Resources Tbk,Basic Materials,True
TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,Basic Materials,True
TLKM,Telkom Indonesia (Persero) Tbk,Infrastructures,True
TMAS,Temas Tbk.,Transportation & Logistic,True
TMPO,Tempo Intimedia Tbk.,Consumer Cyclicals,True
TOBA,TBS Energi Utama Tbk.,Energy,True
TOTL,Total Bangun Persada Tbk.,Infrastructures,True
TOTO,Surya Toto Indonesia Tbk.,Industrials,True
TOWR,Sarana Menara Nusantara Tbk.,Infrastructures,False
TPIA,Chandra Asri Pacific Tbk.,Basic Materials,True
TPMA,Trans Power Marine Tbk.,Energy,True
TRAM,Trada Alam Minera Tbk.,Energy,False
TRIL,Triwira Insanlestari Tbk.,Industrials,False
TRIM,Trimegah Sekuritas Indonesia T,Financials,False
TRIO,Trikomsel Oke Tbk.,Consumer Cyclicals,False
TRIS,Trisula International Tbk.,Consumer Cyclicals,True
TRST,Trias Sentosa Tbk.,Basic Materials,True
TRUS,Trust Finance Indonesia Tbk,Financials,False
TSPC,Tempo Scan Pacific Tbk.,Healthcare,True
ULTJ,Ultrajaya Milk Industry & Trad,Consumer Non-Cyclicals,True
UNIC,Unggul Indah Cahaya Tbk.,Basic Materials,True
UNIT,Nusantara Inti Corpora Tbk,Consumer Cyclicals,False
UNSP,Bakrie Sumatera Plantations Tb,Consumer Non-Cyclicals,False
UNTR,United Tractors Tbk.,Industrials,True
UNVR,Unilever Indonesia Tbk.,Consumer Non-Cyclicals,True
VICO,Victoria Investama Tbk.,Financials,False
VINS,Victoria Insurance Tbk.,Financials,False
VIVA,Visi Media Asia Tbk.,Consumer Cyclicals,False
